6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
6773.thousand_nights_vol07_29_burton_64kb_67|“I take refuge with Allah, the All-hearing, the All-knowing! Praised be He! O my lady, thou art the most sensible of women and how couldst thou think of telling the King these fond words, which it behoveth none to publish?
6773.thousand_nights_vol07_29_burton_64kb_68|“And why so?
6773.thousand_nights_vol07_29_burton_64kb_69|“Suppose thou had found the King in his palace and told him all this tale and he had sent after the merchants and commanded to hang them over their shops, the folk would have seen them hanging and asked the reason and it would have been answered them, ‘They sought to seduce the King’s daughter.’
6773.thousand_nights_vol07_28_burton_64kb_0|“Return thou to form of man.
6773.thousand_nights_vol07_28_burton_64kb_1|“Will not my daughter and the handmaid suffice thee?
6773.thousand_nights_vol07_28_burton_64kb_2|“Needs must I have Zaynab also.
6773.thousand_nights_vol07_28_burton_64kb_3|“Who is at the door?
6773.thousand_nights_vol07_28_burton_64kb_4|“Kamar, daughter of Azariah the Jew; say me, is Ali of Cairo with you?
6773.thousand_nights_vol07_28_burton_64kb_5|“O thou daughter of a dog! If he be with us, what wilt thou with him? Go down, O maid, and open to her.
6773.thousand_nights_vol07_28_burton_64kb_6|“What bringeth thee hither O dog’s daughter?
6773.thousand_nights_vol07_28_burton_64kb_7|“I testify that there is no god but the God and I testify that Mohammed is the Apostle of God.
6773.thousand_nights_vol07_28_burton_64kb_8|“Do men in the Faith of Al-Islam give marriage portions to women or do women dower men?
6773.thousand_nights_vol07_28_burton_64kb_9|“Men endow women.
6773.thousand_nights_vol07_28_burton_64kb_10|“I come and dower myself for thee, bringing thee, as my marriage-portion, my dress together with the rod and charger and chains and the head of my father, the enemy of thee and the foeman of Allah.
6773.thousand_nights_vol07_28_burton_64kb_11|“Become a Moslemah.
6773.thousand_nights_vol07_28_burton_64kb_12|“Meet we to-morrow at the Caliph’s Divan, that I may take thy daughter and the handmaid to wife.
6773.thousand_nights_vol07_28_burton_64kb_13|“There is no Majesty and there is no Might save in Allah, the Glorious, the Great! Folk’s labour hath waxed sinful and man is active only in fraud!
6773.thousand_nights_vol07_28_burton_64kb_14|“I conjure thee, by Allah, taste of this confection!
6773.thousand_nights_vol07_28_burton_64kb_15|“Come hither, O sweetmeat seller!
6773.thousand_nights_vol07_28_burton_64kb_16|“What dost thou want?
6773.thousand_nights_vol07_28_burton_64kb_17|“Halwá and dragées,
6773.thousand_nights_vol07_28_burton_64kb_18|“Both of these are adulterated.
6773.thousand_nights_vol07_28_burton_64kb_19|“Look at this fashion; how excellent it is! Eat of it and make the like of it.
6773.thousand_nights_vol07_28_burton_64kb_20|“O lads, go and seek for your brother Ali of Cairo.
6773.thousand_nights_vol07_28_burton_64kb_21|“We found thee lying here drugged but know not who drugged thee.
6773.thousand_nights_vol07_28_burton_64kb_22|“’Twas a certain sweetmeat-seller who drugged me and took the gear from me; but where is he gone?
6773.thousand_nights_vol07_28_burton_64kb_23|“We have seen nothing of him; but come, rise and go home with us.
6773.thousand_nights_vol07_28_burton_64kb_24|“I was coming hither with it and other matters, including the Jew’s head, when a sweetmeat-seller met me and drugged me with Bhang and took them from me.
6773.thousand_nights_vol07_28_burton_64kb_25|“If I come across that man of goodies again, I will requite him.
6773.thousand_nights_vol07_28_burton_64kb_26|“Hast thou gotten the gear, O Ali?
6773.thousand_nights_vol07_28_burton_64kb_27|“If I know whither the rascal is gone and where to find the knave, I would pay him out. Knowest thou whither he went?
6773.thousand_nights_vol07_28_burton_64kb_28|“I know where he is,
6773.thousand_nights_vol07_28_burton_64kb_29|“Where am I and who hath laid hands on me?
6773.thousand_nights_vol07_28_burton_64kb_30|“’Twas I laid hands on thee;
6773.thousand_nights_vol07_28_burton_64kb_31|“O perfidious wretch, wilt thou play thy pranks on me?
6773.thousand_nights_vol07_28_burton_64kb_32|“Hold thy hand for this fellow is become thy kinsman.
6773.thousand_nights_vol07_28_burton_64kb_33|“How my kinsman?
6773.thousand_nights_vol07_28_burton_64kb_34|“This is Ahmad al-Lakit son of Zaynab’s sister.
6773.thousand_nights_vol07_28_burton_64kb_35|“Why didst thou thus, O Lakit?
6773.thousand_nights_vol07_28_burton_64kb_36|“Go back to thy grandmother and Zurayk, and tell them that I have brought the gear and the Jew’s head and say to them: — Meet me to-morrow at the Caliph’s Divan, there to receive Zaynab’s dowry.
6773.thousand_nights_vol07_28_burton_64kb_37|“We have not wasted our pains in rearing thee, O Ali!
6773.thousand_nights_vol07_28_burton_64kb_38|“O Commander of the Faithful, this is Mercury Ali the Egyptian captain of the brave boys of Cairo, and he is the first of my lads.
6773.thousand_nights_vol07_28_burton_64kb_39|“May thine every enemy be like this one, O Prince of True Believers!
6773.thousand_nights_vol07_28_burton_64kb_40|“’Tis the head of Azariah the Jew.
6773.thousand_nights_vol07_28_burton_64kb_41|“I had not thought thou wouldst kill him, for that he was a sorcerer.
6773.thousand_nights_vol07_28_burton_64kb_42|“O Commander of the Faithful, my Lord made me prevail to his slaughter.
6773.thousand_nights_vol07_28_burton_64kb_43|“Be thou my intercessor with Sharper Ali that he take me to wife.
6773.thousand_nights_vol07_28_burton_64kb_44|“Ask a boon of me.
6773.thousand_nights_vol07_28_burton_64kb_45|“I beg of thee to let me stand on thy carpet and eat of thy table;
6773.thousand_nights_vol07_28_burton_64kb_46|“O Ali, hast thou any lads?
6773.thousand_nights_vol07_28_burton_64kb_47|“I have forty lads; but they are in Cairo.
6773.thousand_nights_vol07_28_burton_64kb_48|“Send to Cairo and fetch them hither,
6773.thousand_nights_vol07_28_burton_64kb_49|“But, O Ali, hast thou a barrack for them?
6773.thousand_nights_vol07_28_burton_64kb_50|“I make him a present of my barrack with all that is therein, O Commander of the Faithful.
6773.thousand_nights_vol07_28_burton_64kb_51|“Thy lodging is thine own, O Hasan;
6773.thousand_nights_vol07_28_burton_64kb_52|“O King of the age, be thou my intercessor with Dalilah the Wily that she give me her daughter Zaynab to wife and take the dress and gear of Azariah’s girl in lieu of dower.
6773.thousand_nights_vol07_28_burton_64kb_53|“I have married four maidens and needs must ye come to the wedding.
6773.thousand_nights_vol07_28_burton_64kb_54|“I wish thee O Ali, to tell me all that hath befallen thee from first to last with Dalilah the Wily and Zaynab the Coney-catcher and Zurayk the Fishmonger.
6773.thousand_nights_vol07_28_burton_64kb_55|“I am now in years and ye know my case and the state of the kingdom and its ordinance; and I fear for my subjects after me; for that up to this present I have not been vouchsafed a son.
6773.thousand_nights_vol07_28_burton_64kb_56|“We will compound thee a somewhat of drugs wherein shall be efficacy, if it please Almighty Allah!
6773.thousand_nights_vol07_28_burton_64kb_57|“Never will I do this; and if thou force me thereto, I will slay myself.
6773.thousand_nights_vol07_28_burton_64kb_58|“Shall the like of me send to one of the Kings on a requisition and he accomplish it not?
6773.thousand_nights_vol07_28_burton_64kb_59|“I will on no wise turn back, till I have laid waste King Abd al-Kadir’s dominions and slain his men and plundered his treasures and blotted out his traces!
6773.thousand_nights_vol07_28_burton_64kb_60|“O mighty King, trouble not thyself with aught of this thing
6773.thousand_nights_vol07_28_burton_64kb_61|“And what then thinkest thou to do, O my son?
6773.thousand_nights_vol07_28_burton_64kb_62|“I will don a merchant’s habit and cast about how I may win to the Princess and compass my desire of her.
6773.thousand_nights_vol07_28_burton_64kb_63|“Yes, O my sire;
6773.thousand_nights_vol07_28_burton_64kb_64|“Do thou journey with my son, the core of my heart, and help him to win his will and watch over him and guide him with thy sound judgment, for thou standest to him even in my stead.
6773.thousand_nights_vol07_28_burton_64kb_65|“I hear and obey,
6773.thousand_nights_vol07_28_burton_64kb_66|“O King’s son, possess thy soul in patience; for the consequence of patience is consolation, and behold, thou art on the way to whatso thou wishest.
6773.thousand_nights_vol07_28_burton_64kb_67|“Rejoice, O King’s son, in all good; for see, yonder is the White City, that which thou seekest.
4062.mrwhickerswindow_17_dawson_64kb_0|"Show them in, Becky,
4062.mrwhickerswindow_17_dawson_64kb_1|"I wonder what brings them here so early? It must be a matter of some importance. Stay with me, Christopher. I shall present you to the Captain."
4062.mrwhickerswindow_17_dawson_64kb_2|"Well, Captain, what brings you here so betimes? No trouble of any kind, I trust?"
4062.mrwhickerswindow_17_dawson_64kb_3|"Now, sir, needs must I come with unpleasant news, and sorry I am to bring it. I have heard that the Venture plans to sail at any time, and you well know she is a fast-sailing ship.
4062.mrwhickerswindow_17_dawson_64kb_4|"Sir, it has been noised about that the Venture is headed for the West Indies."
4062.mrwhickerswindow_17_dawson_64kb_5|"But 'tis not so.
4062.mrwhickerswindow_17_dawson_64kb_6|"Early this morning Ned Cilley brought me the information that the Venture is to sail to the China seas."
4062.mrwhickerswindow_17_dawson_64kb_7|"I knew some trouble was ahead,
4062.mrwhickerswindow_17_dawson_64kb_8|"but did not know what form it was to take.
4062.mrwhickerswindow_17_dawson_64kb_9|"News of sailings and destinations get about so rapidly, it is more than likely that someone overheard the destination of the Mirabelle, and sold his knowledge to Captain Chew. Although,
4062.mrwhickerswindow_17_dawson_64kb_10|"I think Claggett Chew guessed it. Well,
4062.mrwhickerswindow_17_dawson_64kb_11|"what advice do you give me?"
4062.mrwhickerswindow_17_dawson_64kb_12|"Nay sir, 'tis for orders that I came to you. It is for you to say."
4062.mrwhickerswindow_17_dawson_64kb_13|"How soon can the Mirabelle put to sea?
4062.mrwhickerswindow_17_dawson_64kb_14|"At any time, sir,
4062.mrwhickerswindow_17_dawson_64kb_15|"We have nearly water enough, and quite sufficient stores. The men are all assembled."
4062.mrwhickerswindow_17_dawson_64kb_16|"The tide will be high at midnight, sir,
4062.mrwhickerswindow_17_dawson_64kb_17|"here is the sandbar that the tide covers for but a short time, and should there be other ships crowding the river near this point, we must slip through there then or not at all."
4062.mrwhickerswindow_17_dawson_64kb_18|"Captain Blizzard, and you, Mr. Finney,
4062.mrwhickerswindow_17_dawson_64kb_19|"should water casks be seen going on board, the whole of Georgetown will know you mean to sail. I therefore ask you to so contrive it that the casks be hidden in bales or boxes so that they seem to be anything but what they are.
4062.mrwhickerswindow_17_dawson_64kb_20|"Our only chance to steal a march on the Venture will be to sail at least a day before her.
4062.mrwhickerswindow_17_dawson_64kb_21|"There is one other thing. Your orders for where you are to anchor, once near China, will be secret, and carried on the person of this boy.
4062.mrwhickerswindow_17_dawson_64kb_22|"He has a task of utmost secrecy to carry out and will require your help, encouragement, and silence."
4062.mrwhickerswindow_17_dawson_64kb_23|"but his presence on the ship must not be known until the Mirabelle is well to sea.
4062.mrwhickerswindow_17_dawson_64kb_24|"I shall arrange to bring him aboard somehow, and give you your sailing orders later."
4062.mrwhickerswindow_17_dawson_64kb_25|"Leave me these charts for yet a little while, and I shall ponder on our plans,
4062.mrwhickerswindow_17_dawson_64kb_26|"See that the water casks are taken on at once, Captain, and hidden, and make a place for Christopher, here,
4062.mrwhickerswindow_17_dawson_64kb_27|"Mr. Wicker, sir, I have a plan! May we look at the river charts again?"
4062.mrwhickerswindow_17_dawson_64kb_28|"Look, sir! Here is the sandbar, and here
4062.mrwhickerswindow_17_dawson_64kb_29|"the Venture. Or she was, yesterday. Now sir, the sandbar being just below and ahead of the Venture, once the Mirabelle has slipped by, wouldn't it be too bad if something happened to make the Venture drift with the tide and run aground?"
4062.mrwhickerswindow_33_dawson_64kb_0|"fleck!
4062.mrwhickerswindow_33_dawson_64kb_1|"Ah, now!
4062.mrwhickerswindow_33_dawson_64kb_2|"and where have you been, I wonder?"
4062.mrwhickerswindow_33_dawson_64kb_3|"It is true, you have a tiny mark at the side of your jaw -- if parakeets have jaws, my friend. But there is no such thing as magic. Not the kind of magic whereby a human can be something else!"
4062.mrwhickerswindow_33_dawson_64kb_4|"What a joke if it were possible! Now what could I be, eh?"
4062.mrwhickerswindow_33_dawson_64kb_5|"Haw yourself!
4062.mrwhickerswindow_33_dawson_64kb_6|"Now, all this is a most engaging train of thought,
4062.mrwhickerswindow_33_dawson_64kb_7|"If I could change myself, what should I be?"
4062.mrwhickerswindow_33_dawson_64kb_8|"Ah -- there you are at last, Claggett,
4062.mrwhickerswindow_33_dawson_64kb_9|"Battle all over? It still sounds rather ferocious, to me. But of course I am no expert. Heaven forbid!
4062.mrwhickerswindow_33_dawson_64kb_10|"I will have that bird, Osterbridge,
4062.mrwhickerswindow_33_dawson_64kb_11|"Oh no, you will not, Claggett,
4062.mrwhickerswindow_33_dawson_64kb_12|"This is the one thing that is keeping me from unutterable boredom, while you go into your interminable fight.
4062.mrwhickerswindow_33_dawson_64kb_13|"I am not a trader, Osterbridge. Nor shall I bandy words with you on this subject. Give me that bird, or I shall take it from you!"
4062.mrwhickerswindow_33_dawson_64kb_14|"Claggett,
4062.mrwhickerswindow_33_dawson_64kb_15|"I am sorry to say such a thing to you, but your fever during the weeks just past has undoubtedly altered your brain. You are a madman, Claggett.
4062.mrwhickerswindow_33_dawson_64kb_16|"Kindly leave the room, Claggett,
4062.mrwhickerswindow_33_dawson_64kb_17|"until you are more yourself. Your conduct and tone are unbecoming to a gentleman,
4062.mrwhickerswindow_12_dawson_64kb_0|"We'll take a look at the Mirabelle,
4062.mrwhickerswindow_12_dawson_64kb_1|"See there, the thin man. That be Mr. Mason's agent. I heard he's here to buy the ballast bricks for his master's plantation on the island."
4062.mrwhickerswindow_12_dawson_64kb_2|"Ballast bricks? Please sir, what's that?"
4062.mrwhickerswindow_12_dawson_64kb_3|"Ballast bricks? Why, anyone knows that these are the bricks brought over in the hold, my lad, should there not be sufficient cargo, both to make ballast for the vessel and to sell once here. English bricks are cheaper than those we can make ourselves. Did you not know, young man,
4062.mrwhickerswindow_12_dawson_64kb_4|"that our bricks for building houses have all come from British kilns?"
4062.mrwhickerswindow_12_dawson_64kb_5|"No sir, thank you sir,
4062.mrwhickerswindow_12_dawson_64kb_6|"The Mirabelle!
4062.mrwhickerswindow_12_dawson_64kb_7|"I'd know those lines anywhere!
4062.mrwhickerswindow_12_dawson_64kb_8|"a taste, a mere spoonful
4062.mrwhickerswindow_12_dawson_64kb_9|"Eh well, lookee here!
4062.mrwhickerswindow_12_dawson_64kb_10|"Chris and Amos, by me soul!
4062.mrwhickerswindow_12_dawson_64kb_11|"Lookin' about, lads? Eh, that's the way. Is she not the finest ship that ever ye did rest your eyes on?"
4062.mrwhickerswindow_12_dawson_64kb_12|"Who in the world are they?
4062.mrwhickerswindow_12_dawson_64kb_13|"Them? Why, bless me cap and buttons! That-there's the captain of the Mirabelle no less, and his first mate. Captain Ezekial Blizzard, he is, and Mr. Elisha Finney,
4062.mrwhickerswindow_12_dawson_64kb_14|"Blizzard and Finney, that's them,
4062.mrwhickerswindow_12_dawson_64kb_15|"And a better captain and first mate is not come by in the whole land, I shall warrant you. He may look too plump for his own good,
4062.mrwhickerswindow_12_dawson_64kb_16|"Mr. Finney's kind, too,
4062.mrwhickerswindow_12_dawson_64kb_17|"though he don't look it, bless me cap and boots! He's tenderhearted as a bird, under that gloom, is Finney."
4062.mrwhickerswindow_12_dawson_64kb_18|"Could we go on board the ship?
4062.mrwhickerswindow_12_dawson_64kb_19|"No, me lad,
4062.mrwhickerswindow_12_dawson_64kb_20|"'Tis better not. Wait till the master do present you proper to the Captain, for the Mirabelle is Captain Blizzard's castle, like. I would sooner ye were asked aboard by him."
4062.mrwhickerswindow_12_dawson_64kb_21|"Come now! Cheer up!
4062.mrwhickerswindow_12_dawson_64kb_22|"Come meet some of the crew!
4062.mrwhickerswindow_12_dawson_64kb_23|"Here are two likely young 'uns, living at the house of Mr. Wicker. Ye've heard me speak of them. Amos, here, on me right, and Chris, that's on me other side.
4062.mrwhickerswindow_12_dawson_64kb_24|"this good man here is Bowie."
4062.mrwhickerswindow_12_dawson_64kb_25|"This here's Elbert Jones,
4062.mrwhickerswindow_12_dawson_64kb_26|"and that one's Abner Cloud, and that one,
4062.mrwhickerswindow_12_dawson_64kb_27|"that one's Zachary Heigh."
4062.mrwhickerswindow_04_dawson_64kb_0|"Golly Moses!
4062.mrwhickerswindow_04_dawson_64kb_1|"Fancy dress, huh?
4062.mrwhickerswindow_04_dawson_64kb_2|"Oh my golly!
4062.mrwhickerswindow_04_dawson_64kb_3|"and it just set me off. I hope I didn't disturb you?"
4062.mrwhickerswindow_04_dawson_64kb_4|"Well now. So you are awake at the last, eh? And hungry, bein' a boy, I don't doubt?"
4062.mrwhickerswindow_04_dawson_64kb_5|"So you are Chris, did you say? Christopher, that would be? And I am Mistress Rebecca Boozer, should you be wanting to know. Becky Boozer, they call me."
4062.mrwhickerswindow_04_dawson_64kb_6|"Eat up now, young man,
4062.mrwhickerswindow_04_dawson_64kb_7|"for Mr. Wicker will be wanting to see you when you have done. It's late. Past eight of the clock.
4062.mrwhickerswindow_04_dawson_64kb_8|"It might be just possible that Master Cilley will be passing by before long for a midmorning snack and here I am gossiping with you instead of getting on with my work."
4062.mrwhickerswindow_04_dawson_64kb_9|"Don't you have an icebox?
4062.mrwhickerswindow_04_dawson_64kb_10|"What may that be?
4062.mrwhickerswindow_04_dawson_64kb_11|"To keep the food cool,
4062.mrwhickerswindow_04_dawson_64kb_12|"We have a larder on the cool side of the house, if that be what you mean,
4062.mrwhickerswindow_04_dawson_64kb_13|"Keeps the food pretty well up to April or May. Then the heat makes everything go. Oh! This heat! Prosperity, Maryland, where I come from, and on the sea coast as it is, was never like this!"
4062.mrwhickerswindow_04_dawson_64kb_14|"If you had a little wooden trough that led from that tub out through the window there, you could pull out a bung when you were ready and the water would run outdoors. It would save you carrying that great tub about, when you are in a hurry."
4062.mrwhickerswindow_04_dawson_64kb_15|"I would never have thought it,
4062.mrwhickerswindow_04_dawson_64kb_16|"by the look of you. Never in this world. You have brains, young lad, that's what you have. A better idea than that I never heard! Indeed, it is just what I have been a-needin' since years, and that simple I might have thought it out myself! I shall set Master Cilley to work on it when he comes. He's right handy with tools, is Ned Cilley."
4062.mrwhickerswindow_04_dawson_64kb_17|"Come now, Becky me love!
4062.mrwhickerswindow_04_dawson_64kb_18|"How can I start the day right 'thout a kiss from my Boozer?"
4062.mrwhickerswindow_04_dawson_64kb_19|"Get along with you, Cilley! What a way to behave,
4062.mrwhickerswindow_04_dawson_64kb_20|"See -- there's company here."
4062.mrwhickerswindow_04_dawson_64kb_21|"A visitor, eh? Well, well. Off a ship?"
4062.mrwhickerswindow_04_dawson_64kb_22|"No -- no!
4062.mrwhickerswindow_04_dawson_64kb_23|"from another part of the country. He got here last night and slept late, as you see."
4062.mrwhickerswindow_04_dawson_64kb_24|"Indeed and indeed!
4062.mrwhickerswindow_04_dawson_64kb_25|"Well, young man,
4062.mrwhickerswindow_04_dawson_64kb_26|"I shall sit here, Mistress Becky, by your leave,
4062.mrwhickerswindow_04_dawson_64kb_27|"to keep this lad company, as it were."
4062.mrwhickerswindow_04_dawson_64kb_28|"So you shall!
4062.mrwhickerswindow_04_dawson_64kb_29|"And could I tempt you with a morsel, Master Cilley?"
4062.mrwhickerswindow_04_dawson_64kb_30|"How could I refuse when I know your fame as a cook?
4062.mrwhickerswindow_04_dawson_64kb_31|"But a crumb, Mistress Becky. A morsel. A taste. Just to pay my respects to your art, as it were."
4062.mrwhickerswindow_04_dawson_64kb_32|"Just a morsel, Master Cilley,
4062.mrwhickerswindow_04_dawson_64kb_33|"Try just a taste, to please me."
4062.mrwhickerswindow_04_dawson_64kb_34|"Here -- try this,
4062.mrwhickerswindow_04_dawson_64kb_35|"You must keep your strength up, Ned Cilley,
4062.mrwhickerswindow_04_dawson_64kb_36|"for 'tis a hard life that you lead,
4062.mrwhickerswindow_04_dawson_64kb_37|"Aye, that it is, that it is!
4062.mrwhickerswindow_04_dawson_64kb_38|"A hard life, has a sailor,
4062.mrwhickerswindow_04_dawson_64kb_39|"Mistress Boozer,
